bin,good_count,bad_count,good_distribution,bad_distribution,WOE,IV,feature
A141,52.0,47.0,0.10612244897959183,0.22380952380952382,-0.7462017435158349,0.08781830042737378,other_installment_plans
A142,24.0,14.0,0.04897959183673469,0.06666666666666667,-0.3083013596545167,0.005452949218379207,other_installment_plans
A143,414.0,149.0,0.8448979591836735,0.7095238095238096,0.17462180749265163,0.02363927870138617,other_installment_plans
A151,73.0,50.0,0.1489795918367347,0.23809523809523808,-0.46886142466695846,0.0417828888648786,housing
A152,373.0,129.0,0.7612244897959184,0.6142857142857143,0.2144681548949398,0.031513688066195235,housing
A153,44.0,31.0,0.08979591836734693,0.14761904761904762,-0.4970954309540888,0.028743613354488134,housing
A171,6.0,6.0,0.012244897959183673,0.02857142857142857,-0.8472978603872037,0.013833434455301285,job
A172,101.0,39.0,0.20612244897959184,0.18571428571428572,0.10426101032440946,0.002127775720906315,job
A173,318.0,131.0,0.6489795918367347,0.6238095238095238,0.03955619919182161,0.0009956322245560543,job
A174,65.0,34.0,0.1326530612244898,0.1619047619047619,-0.19927111510772794,0.005829019013355307,job
A201,464.0,208.0,0.9469387755102041,0.9904761904761905,-0.044951387862266275,0.001957067226656491,foreign_worker
A202,26.0,2.0,0.053061224489795916,0.009523809523809525,1.7176514970743328,0.07478210599507298,foreign_worker
18-25,74.0,50.0,0.1510204081632653,0.23809523809523808,-0.45525577261117983,0.03964131897566735,age_binned
26-35,205.0,88.0,0.41836734693877553,0.41904761904761906,-0.001624695727001922,1.1052351884366647e-06,age_binned
36-45,120.0,36.0,0.24489795918367346,0.17142857142857143,0.3566749439387324,0.02620468975876401,age_binned
46-55,62.0,21.0,0.12653061224489795,0.1,0.23531408693446482,0.006243026796220492,age_binned
56+,29.0,15.0,0.05918367346938776,0.07142857142857142,-0.1880522315029396,0.0023026803857502795,age_binned
"(12.0, 15.0]",39.0,10.0,0.07959183673469387,0.047619047619047616,0.5136786927483972,0.01642374051644535,duration_binned
"(15.0, 24.0]",151.0,79.0,0.3081632653061224,0.3761904761904762,-0.19946587603930083,0.013569107213557884,duration_binned
"(24.0, 30.0]",27.0,13.0,0.05510204081632653,0.06190476190476191,-0.11641035184441134,0.0007919071554041588,duration_binned
"(3.999, 12.0]",206.0,54.0,0.4204081632653061,0.2571428571428571,0.4915942618381032,0.08026028764703726,duration_binned
"(30.0, 60.0]",67.0,54.0,0.13673469387755102,0.2571428571428571,-0.6315892875605117,0.07604850605320446,duration_binned
